,v,GARCH
0,1.6462237690783506,0.4286202829230137
1,2.209565293727636,0.5352884036690013
2,0.8333028269718085,0.6810176365492145
3,0.11081044589692089,0.6926151369495122
4,0.08944268545808999,0.6420429207840793
5,0.02494475930881,0.5989059850893738
6,0.00037231632025,0.553118959882979
7,0.70127242388401,0.508556162957538
8,1.1820849900007826,0.5254391450186352
9,0.29421576795556004,0.5822839439741145
10,0.0221489371785361,0.55742478590353
11,0.048971831097639994,0.5132188601760307
12,0.67348710303876,0.47832428462860627
13,0.16920775299169,0.5073694172236966
14,0.0818207637540241,0.4852300121673461
15,0.0476578807569225,0.45240683491454475
16,0.09941620882728959,0.42015300954519863
17,0.49082943070084,0.39499526757716147
18,0.539614049731433,0.41476538186628453
19,1.08852684696001,0.42685704275981184
20,1.01723999364e-05,0.4850975264063515
21,0.0499852798182544,0.446913051466705
22,0.0094010205324996,0.415362459794945
23,0.07064403173130249,0.38409634743062226
24,0.023068770719764903,0.3601773405088351
25,0.007382796298240001,0.33508512556116865
26,0.08803468780096,0.3126868628976784
27,0.011894450044422399,0.30121919804902375
28,0.8830495277611226,0.2811174765687774
29,0.08264952263688999,0.33563813378195284
30,0.02687783186916,0.3173287653490309
31,0.0334049386972324,0.29895659366239513
32,0.1598279422809169,0.28049112625728573
33,0.3531009618445401,0.27367326116366203
34,0.5284239101043985,0.28356683601507454
35,0.5389205900486521,0.30737621576873336
36,0.1774940354661681,0.32978156271922204
37,0.0006022660800321,0.3196434529996162
38,1.4396284319723287,0.29734255335453524
39,0.4419676691461201,0.3986485156545176
40,0.0286298447166736,0.4039849795187034
41,0.0013504419626896,0.3750401378681903
42,0.6478701272544399,0.34736937325140504
43,0.0605727015156484,0.3866416900792089
44,0.047085367490056894,0.36170792736090285
45,0.0389901198679056,0.3381725318010857
46,0.02155097400625,0.31631876881940885
47,0.68390683657956,0.29744229077164946
48,0.17797902187536002,0.3449436084446541
49,0.007520356665600099,0.3393587877163081
50,0.9221661797306255,0.31533691924494756
51,0.42979599287335846,0.36993417650063
52,0.022064015738952097,0.37701179933924145
53,0.22841643491566238,0.35022660001503025
54,0.08345951212095998,0.3423049349206018
55,0.145347750025,0.3275084437332725
56,0.01845500514064,0.3203769508550952
57,0.22412458378728042,0.30075166738977777
58,0.1374795065776441,0.29725375921537184
59,0.04549437309480999,0.28700673875710436
60,0.023068144961640103,0.2735920204611847
61,0.010454530806760001,0.25686316997386055
62,0.2667077430500025,0.24241317149421676
63,0.8163876759222276,0.24808586992761372
