,v,RGARCH-MIDAS+X
2017/7/18,0.5688699826840901,0.35976900185480076
2017/7/19,1.6462237690783506,0.4792986799890886
2017/7/20,2.209565293727636,0.6439640431418655
2017/7/21,0.8333028269718085,0.6252776454195751
2017/7/24,0.11081044589692089,0.5323524674675246
2017/7/25,0.08944268545808999,0.4630486084138916
2017/7/26,0.02494475930881,0.3947630047254283
2017/7/27,0.00037231632025,0.3322050982063429
2017/7/28,0.70127242388401,0.34966862750751276
2017/7/31,1.1820849900007826,0.41810149694548343
2017/8/1,0.29421576795556004,0.37048152113101857
2017/8/2,0.0221489371785361,0.3115579260385006
2017/8/3,0.048971831097639994,0.27196279469200835
2017/8/4,0.67348710303876,0.3248931262223258
2017/8/7,0.16920775299169,0.30100300448453116
2017/8/8,0.0818207637540241,0.2582218592510336
2017/8/9,0.0476578807569225,0.21946419259026517
2017/8/10,0.09941620882728959,0.1915887684709661
2017/8/11,0.49082943070084,0.23341026933709336
2017/8/14,0.539614049731433,0.24919549402269464
2017/8/15,1.08852684696001,0.32343365456340833
2017/8/16,1.01723999364e-05,0.27204779737294454
2017/8/17,0.0499852798182544,0.23122635310221984
2017/8/18,0.0094010205324996,0.19436262832380202
2017/8/21,0.07064403173130249,0.16796279469921221
2017/8/22,0.023068770719764903,0.1421018041091332
2017/8/23,0.007382796298240001,0.12272019351047932
2017/8/24,0.08803468780096,0.11994789116468356
2017/8/25,0.011894450044422399,0.10130929786266336
2017/8/28,0.8830495277611226,0.17659547183498708
2017/8/29,0.08264952263688999,0.15416424282673852
2017/8/30,0.02687783186916,0.13654197978858343
2017/8/31,0.0334049386972324,0.11651189586163396
2017/9/1,0.1598279422809169,0.10943041059894701
2017/9/4,0.3531009618445401,0.1252921218192323
2017/9/5,0.5284239101043985,0.15746354522412329
2017/9/6,0.5389205900486521,0.18553648956416452
2017/9/7,0.1774940354661681,0.17077003158175055
2017/9/8,0.0006022660800321,0.14394810862683874
2017/9/11,1.4396284319723287,0.2750756627638482
2017/9/12,0.4419676691461201,0.2734610247063855
2017/9/13,0.0286298447166736,0.23076281889906128
2017/9/14,0.0013504419626896,0.19404060796755274
2017/9/15,0.6478701272544399,0.2562801738286713
