date,year,month,day,open,close,high,low,volume,money,rt,rv,rk,rk2
2011/4/6,2011,4,6,1254.81,1252.11,1258.3,1240.32,408845600,6647540931,0.18317575,0.03355335,9.32E-05,4.70E-05
2011/4/7,2011,4,7,1252.96,1259.7,1259.7,1244.47,377222200,6325498743,0.16891582,0.02853255,5.07E-05,2.72E-05
2011/4/8,2011,4,8,1258.38,1272.93,1273.03,1253.43,376801900,6217289159,0.68673152,0.47160019,4.39E-05,2.49E-05
2011/4/11,2011,4,11,1275.79,1254.96,1278.01,1254.48,437883600,7102212233,-0.1181923,0.01396943,5.52E-05,2.94E-05
2011/4/12,2011,4,12,1253.63,1256.3,1260.84,1248.88,480577900,6453682282,-0.6685833,0.44700375,7.24E-05,3.96E-05
2011/4/13,2011,4,13,1253.18,1267.2,1267.35,1247.65,353858600,5259770917,0.46757877,0.21862991,4.43E-05,2.45E-05
2011/4/14,2011,4,14,1268.74,1260.42,1269.93,1258.01,344612800,5438678996,0.25018306,0.06259156,2.47E-05,1.17E-05
2011/4/15,2011,4,15,1258.98,1258.21,1263.73,1247.44,404010000,5968286459,-0.3619499,0.13100778,7.82E-05,4.02E-05
2011/4/18,2011,4,18,1255.51,1254.07,1260.31,1247.96,373829500,5575330784,-0.1697052,0.02879986,4.74E-05,2.42E-05
2011/4/19,2011,4,19,1248.78,1233.85,1248.97,1229.85,431194500,6751948800,-0.755781,0.57120503,6.70E-05,3.92E-05
2011/4/20,2011,4,20,1234.61,1236.99,1239.73,1228.15,404495900,6643545282,-0.4119745,0.16972306,7.04E-05,3.27E-05
2011/4/21,2011,4,21,1239.43,1238.39,1241.69,1234.86,377242600,6039726276,0.13276461,0.01762644,8.96E-06,6.94E-06
2011/4/22,2011,4,22,1238.8,1237.27,1239.28,1232.62,378385900,5757352866,-0.0757521,0.00573838,2.81E-05,2.52E-05
2011/4/25,2011,4,25,1235.38,1208.21,1235.38,1207.74,385089100,5797303974,-1.085877,1.17912902,0.00012518,6.42E-05
2011/4/26,2011,4,26,1205.47,1197.28,1212.09,1194.22,294753200,4666749568,-1.3604838,1.85091623,7.15E-05,3.41E-05
2011/4/27,2011,4,27,1199.2,1184.78,1204.75,1176.82,342056700,5066457716,-0.7518692,0.56530735,7.11E-05,4.21E-05
2011/4/28,2011,4,28,1187.54,1149.93,1192.01,1148.8,345298600,4988590571,-1.8220215,3.31976256,0.00020948,0.00011176
2011/4/29,2011,4,29,1151.38,1174.69,1175.22,1150.68,300050200,4064330704,-0.4724975,0.22325391,7.64E-05,4.75E-05
2011/5/3,2011,5,3,1177.16,1190.3,1190.84,1171.69,334963400,4785700130,1.44377523,2.08448691,6.94E-05,3.99E-05
2011/5/4,2011,5,4,1185.97,1165.45,1186.42,1163.12,320974700,4685489202,-0.434185,0.18851662,8.23E-05,5.35E-05
2011/5/5,2011,5,5,1163.04,1166.31,1170.91,1160.88,215984600,3131367303,-0.7259704,0.52703303,5.12E-05,4.41E-05
2011/5/6,2011,5,6,1161.29,1178.94,1182.91,1156.38,279585000,3546090637,0.58970515,0.34775216,9.84E-05,4.23E-05
2011/5/9,2011,5,9,1182.33,1191.94,1199.97,1182.33,304601500,4513751585,1.13137081,1.2799999,9.04E-05,4.66E-05
2011/5/10,2011,5,10,1193.83,1194.96,1195.31,1184.4,285465500,3880649738,0.46146586,0.21295074,5.08E-05,2.97E-05
2011/5/11,2011,5,11,1197.49,1194.04,1200.08,1187.99,267208400,3780030489,0.00763876,5.84E-05,5.83E-05,3.49E-05
2011/5/12,2011,5,12,1187.25,1175.34,1191.58,1175.13,318968300,4278649641,-0.8108378,0.65745806,7.73E-05,3.71E-05
2011/5/13,2011,5,13,1177.17,1181.17,1182.16,1165.6,321292200,4124956135,-0.222977,0.04971875,0.00010893,5.73E-05
2011/5/16,2011,5,16,1182.45,1182.82,1191.32,1181.21,336758600,4345610074,0.20794736,0.0432421,4.99E-05,3.03E-05
2011/5/17,2011,5,17,1182.5,1179.67,1185.22,1168.46,339191600,4182242334,-0.102225,0.01044996,9.47E-05,4.89E-05
2011/5/18,2011,5,18,1180.07,1184.21,1186.34,1176.61,282636300,3812606977,0.06275747,0.0039385,2.50E-05,1.49E-05
2011/5/19,2011,5,19,1185.3,1174.56,1188.46,1172.73,294703300,3772433911,-0.2032563,0.04131312,2.83E-05,1.59E-05
2011/5/20,2011,5,20,1170.78,1166.03,1173.39,1162.91,215645200,3032590262,-0.711856,0.50673898,3.30E-05,1.74E-05
2011/5/23,2011,5,23,1165.03,1124.06,1165.49,1123.44,425561200,5074916516,-1.7685801,3.12787569,0.00018116,9.07E-05
2011/5/24,2011,5,24,1117.97,1118.23,1120.16,1102.1,293681600,3892261238,-1.7805969,3.17052545,0.0001495,8.11E-05
2011/5/25,2011,5,25,1117.82,1102.98,1120.56,1102.43,262743700,3128621654,-0.5862512,0.34369048,7.58E-05,4.76E-05
2011/5/26,2011,5,26,1109.34,1093.69,1115.85,1093.26,224559200,2854448889,-0.9477634,0.89825555,9.68E-05,5.10E-05
2011/5/27,2011,5,27,1095.69,1081.94,1101.13,1081.31,281254600,3390558708,-1.0861495,1.17972086,0.00013259,8.83E-05
2011/5/30,2011,5,30,1080.93,1072.38,1084.97,1071,216210900,2681698257,-0.9338992,0.87216776,7.03E-05,5.61E-05
2011/5/31,2011,5,31,1076.98,1094.39,1094.52,1074.52,238031100,3160505856,0.53745456,0.28885741,8.35E-05,3.36E-05
2011/6/1,2011,6,1,1094,1100.23,1101.35,1090,297211400,3245017599,0.92758443,0.86041288,2.78E-05,1.79E-05
2011/6/2,2011,6,2,1088.26,1086.63,1094.05,1074.29,309002900,3504297389,-0.2935631,0.08617929,0.00014042,6.63E-05
2011/6/3,2011,6,3,1088.03,1103.57,1105.69,1087.48,267467300,3278236227,0.60672193,0.3681115,4.12E-05,2.72E-05
2011/6/7,2011,6,7,1101.69,1110.8,1110.92,1100.22,236379600,2800733222,0.89950008,0.8091004,2.22E-05,1.51E-05
2011/6/8,2011,6,8,1109.9,1109.3,1111.01,1096.31,249892900,3111945237,0.29896056,0.08937741,8.94E-05,3.79E-05
2011/6/9,2011,6,9,1108,1086.51,1109.68,1086.33,270502700,3553119055,-0.9250123,0.85564786,9.61E-05,4.63E-05
2011/6/10,2011,6,10,1084.32,1087.87,1089.52,1071.82,234883000,2871722229,-0.7962759,0.63405545,0.00012551,5.49E-05
