date,open,close,high,low,volume,money,rt1,year,month,day,rk,rt,rv,rk_twoscale
2010/11/4,1406.33,1430.72,1430.81,1404.58,2136758200,36018686473,0.007998892,2010,11,4,1.24E-04,0.7998892,0.639822732,7.16E-05
2010/11/5,1442.58,1442.32,1448.49,1432.35,2595557000,37999173490,0.003506978,2010,11,5,4.61E-05,0.3506978,0.122988947,3.71E-05
2010/11/8,1447.51,1459.06,1459.06,1438.39,2566991100,41178415502,0.005011526,2010,11,8,6.13E-05,0.5011526,0.251153928,3.75E-05
2010/11/9,1459.61,1450.29,1459.61,1438.73,2405356800,37404370429,-0.002618299,2010,11,9,7.45E-05,-0.2618299,0.068554897,4.19E-05
2010/11/10,1445.27,1440.5,1446.41,1432.24,2762981100,46377892820,-0.00294159,2010,11,10,5.89E-05,-0.294159,0.086529517,4.40E-05
2010/11/11,1437.78,1438.68,1462.62,1434.54,3260081200,49209452930,-0.000549056,2010,11,11,2.55E-04,-0.0549056,0.003014625,1.22E-04
2010/11/12,1432.26,1346.05,1437.69,1343.26,3575055800,52474612678,-0.028903014,2010,11,12,9.64E-04,-2.8903014,8.353842183,4.81E-04
2010/11/15,1348.03,1378.34,1378.57,1341.58,2836549600,37271537941,0.010295167,2010,11,15,2.74E-04,1.0295167,1.059904636,1.41E-04
2010/11/16,1379.07,1322.71,1379.07,1314.45,2200971300,35776824872,-0.017891723,2010,11,16,7.30E-04,-1.7891723,3.201137519,2.49E-04
2010/11/17,1307.76,1287.68,1322.29,1280.94,1679087200,28245427964,-0.011656687,2010,11,17,3.81E-04,-1.1656687,1.358783518,1.98E-04
2010/11/18,1298.15,1306.04,1308.96,1285.82,1272192200,20109864368,0.006148528,2010,11,18,1.72E-04,0.6148528,0.378043966,9.39E-05
2010/11/19,1314.65,1329.83,1329.83,1288.96,1648145900,26285609359,0.007839648,2010,11,19,4.81E-04,0.7839648,0.614600808,1.58E-04
2010/11/22,1319.21,1334.01,1349.04,1316.16,1726082300,28902696499,0.001362959,2010,11,22,2.15E-04,0.1362959,0.018576572,1.08E-04
2010/11/23,1329.82,1310.07,1329.82,1292.12,1585319200,26365555465,-0.007864584,2010,11,23,2.94E-04,-0.7864584,0.618516815,1.78E-04
2010/11/24,1299.26,1342.94,1343.61,1299.26,1965518000,28497727490,0.010762108,2010,11,24,1.87E-04,1.0762108,1.158229686,7.45E-05
2010/11/25,1355.46,1365.15,1367.87,1348.7,2096088800,31133626448,0.007123764,2010,11,25,5.54E-05,0.7123764,0.507480135,4.84E-05
2010/11/26,1361.95,1351.41,1362.39,1339.71,1391481100,24029282792,-0.004393245,2010,11,26,1.09E-04,-0.4393245,0.193006016,4.64E-05
2010/11/29,1347.53,1349.03,1357.25,1335.69,1271233300,22743397522,-0.000765521,2010,11,29,1.16E-04,-0.0765521,0.005860224,5.85E-05
2010/11/30,1346.22,1314.27,1349.56,1283.49,1751583900,27239049696,-0.011337013,2010,11,30,9.11E-04,-1.1337013,1.285278638,3.53E-04
2010/12/1,1309.58,1315.27,1320.75,1300.01,1007985000,15960283546,0.00033032,2010,12,1,1.31E-04,0.033032,0.001091113,8.01E-05
2010/12/2,1333.46,1321.06,1337.58,1320.5,1225276000,19707600327,0.001907628,2010,12,2,5.70E-05,0.1907628,0.036390446,2.16E-05
2010/12/3,1325.14,1318.88,1328.61,1307.57,1079059300,17292289430,-0.00071726,2010,12,3,1.21E-04,-0.071726,0.005144619,8.26E-05
